Complaint_ID,Complaint_Text,Category,Sentiment,Priority,Resolution,Status
1,Blanket not provided,Ticket Issue,Neutral,High,Refund process initiated,Pending
2,Unauthorized person entered coach,Security,Negative,High,RPF team alerted,Pending
3,Medical assistance required urgently,Staff Behaviour,Very Negative,Medium,Supervisor informed,Resolved
4,Passenger lost luggage,WiFi Issue,Neutral,Medium,Technical support informed,Resolved
5,Charging point not working,Cleanliness,Neutral,Low,Cleaning team dispatched,Pending
6,Blanket not provided,Cleanliness,Very Negative,Low,Cleaning team dispatched,Pending
7,Unauthorized person entered coach,Catering Issue,Negative,Medium,Vendor contacted,Pending
8,Passenger lost luggage,Noise Complaint,Very Negative,Low,Coach attendant informed,Pending
9,Washroom is dirty,Water Problem,Negative,Medium,Vendor informed,Pending
10,Charging point not working,Water Problem,Neutral,Medium,Vendor informed,Pending
11,Washroom is dirty,Luggage,Negative,High,Lost and found informed,Pending
12,Blanket not provided,Staff Behaviour,Negative,Medium,Supervisor informed,Pending
13,Washroom is dirty,Medical Emergency,Very Negative,Low,Medical team alerted,Resolved
14,Unauthorized person entered coach,Reservation,Negative,Low,Reservation department informed,Resolved
15,Blanket not provided,Coach Damage,Negative,Medium,Maintenance team assigned,Pending
16,Blanket not provided,Ticket Issue,Neutral,High,Refund process initiated,Pending
17,Unauthorized person entered coach,Delay,Very Negative,Medium,Delay notification sent,Resolved
18,Washroom is dirty,Theft,Very Negative,Medium,RPF complaint registered,Pending
19,Unauthorized person entered coach,AC Issue,Very Negative,High,Technician assigned,Pending
20,Blanket not provided,Cleanliness,Neutral,High,Cleaning team dispatched,Pending
21,Charging point not working,Staff Behaviour,Negative,High,Supervisor informed,Pending
22,WiFi not available,Water Problem,Negative,High,Vendor informed,Pending
23,Charging point not working,Coach Damage,Neutral,Low,Maintenance team assigned,Resolved
24,Washroom is dirty,WiFi Issue,Negative,Medium,Technical support informed,Pending
25,Passenger lost luggage,WiFi Issue,Negative,High,Technical support informed,Pending
26,Charging point not working,Luggage,Neutral,Medium,Lost and found informed,Resolved
27,Train delayed by 3 hours,Coach Damage,Negative,Medium,Maintenance team assigned,Resolved
28,Passenger lost luggage,Noise Complaint,Very Negative,High,Coach attendant informed,Resolved
29,Train delayed by 3 hours,Noise Complaint,Very Negative,Low,Coach attendant informed,Pending
30,Passenger lost luggage,Luggage,Neutral,Medium,Lost and found informed,Pending
31,Passenger lost luggage,Medical Emergency,Neutral,Low,Medical team alerted,Resolved
